Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1635683511,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1635683512,1,,Aggregated,0.000000,0.000000,840,840,840,840,840,840,840,840,840,840,840,1,0,844.9091629999998,844.9091629999998,844.9091629999998,844.9091629999998,12500001.0
1635683513,2,,Aggregated,0.000000,0.000000,400,400,440,440,840,840,840,840,840,840,840,6,0,370.0,455.76483,337.10281100000003,844.9091629999998,12500001.0
1635683514,3,,Aggregated,0.000000,0.000000,450,450,490,490,490,840,840,840,840,840,840,12,0,440.0,457.3913381666667,337.10281100000003,844.9091629999998,12500001.0
1635683515,4,,Aggregated,2.000000,0.000000,470,530,580,600,640,840,840,840,840,840,840,17,0,470.0,495.90224694117654,337.10281100000003,844.9091629999998,12500001.0
1635683516,5,,Aggregated,3.000000,0.000000,580,600,700,720,750,770,840,840,840,840,840,24,0,530.0,557.7735962500002,337.10281100000003,844.9091629999998,12500001.0
1635683517,6,,Aggregated,4.000000,0.000000,600,720,760,770,850,870,910,910,910,910,910,31,0,600.0,618.6886551290324,337.10281100000003,913.8645869999999,12500001.0
1635683518,7,,Aggregated,4.200000,0.000000,700,760,850,870,930,1100,1100,1100,1100,1100,1100,36,0,680.0,673.4215377777778,337.10281100000003,1118.2204330000002,12500001.0
1635683519,8,,Aggregated,4.500000,0.000000,720,850,910,930,1100,1200,1200,1200,1200,1200,1200,41,0,720.0,734.6909876097561,337.10281100000003,1248.4078949999998,12500001.0
1635683520,9,,Aggregated,4.500000,0.000000,760,930,1100,1100,1200,1300,1300,1300,1300,1300,1300,47,0,760.0,799.6525090638298,337.10281100000003,1287.477376,12500001.0
1635683521,10,,Aggregated,4.875000,0.000000,850,1100,1200,1300,1400,1400,1500,1500,1500,1500,1500,55,0,850.0,888.3236897272728,337.10281100000003,1525.7071789999993,12500001.0
1635683522,11,,Aggregated,5.222222,0.000000,870,1200,1300,1300,1500,1600,1600,1700,1700,1700,1700,59,0,870.0,936.7475976779663,337.10281100000003,1654.1473310000008,12500001.0
1635683523,12,,Aggregated,5.100000,0.000000,1000,1300,1400,1500,1700,1800,1800,1800,1800,1800,1800,67,0,1000.0,1033.6497630746271,337.10281100000003,1813.4443069999993,12500001.0
1635683524,13,,Aggregated,5.700000,0.000000,1100,1300,1400,1600,1800,1800,2000,2000,2000,2000,2000,70,0,1100.0,1073.1397921857144,337.10281100000003,2020.4171290000002,12500001.0
1635683525,14,,Aggregated,6.100000,0.000000,1200,1400,1700,1700,2000,2100,2200,2200,2200,2200,2200,78,0,1200.0,1177.888893897436,337.10281100000003,2196.795804999999,12500001.0
1635683526,15,,Aggregated,6.000000,0.000000,1200,1500,1700,1800,2100,2200,2200,2300,2300,2300,2300,82,0,1200.0,1229.7571507073171,337.10281100000003,2268.9965900000007,12500001.0
1635683527,16,,Aggregated,6.000000,0.000000,1200,1600,1800,2000,2200,2200,2400,2400,2400,2400,2400,85,0,1200.0,1270.0828022705882,337.10281100000003,2394.820387000001,12500001.0
1635683528,17,,Aggregated,5.900000,0.000000,1300,1700,1800,2000,2200,2400,3400,3500,3500,3500,3500,89,0,1300.0,1367.0713179101122,337.10281100000003,3452.389298,12500001.0
1635683529,18,,Aggregated,5.800000,0.000000,1300,1700,2000,2200,3400,3500,3600,3600,3600,3600,3600,95,0,1300.0,1505.187637063158,337.10281100000003,3642.9063510000005,12500001.0
1635683530,19,,Aggregated,5.300000,0.000000,1400,1800,2100,2200,3400,3600,3800,3900,3900,3900,3900,98,0,1400.0,1576.5389042857144,337.10281100000003,3885.0528799999997,12500001.0
1635683531,20,,Aggregated,5.400000,0.000000,1500,2000,2200,2400,3500,3800,3900,3900,3900,3900,3900,106,0,1400.0,1716.5436878962266,337.10281100000003,3924.0835559999996,12500001.0
1635683532,21,,Aggregated,4.900000,0.000000,1500,2100,2400,3100,3500,3800,3900,3900,3900,3900,3900,111,0,1500.0,1786.1608331171174,337.10281100000003,3924.0835559999996,12500001.0
1635683533,22,,Aggregated,4.900000,0.000000,1600,2100,3000,3300,3500,3800,3900,3900,3900,3900,3900,114,0,1600.0,1829.9091040877192,337.10281100000003,3924.0835559999996,12500001.0
1635683534,23,,Aggregated,5.200000,0.000000,1700,2200,3200,3400,3600,3800,3900,3900,3900,3900,3900,119,0,1700.0,1904.723595689076,337.10281100000003,3924.0835559999996,12500001.0
1635683535,24,,Aggregated,4.900000,0.000000,1700,2300,3300,3400,3600,3900,3900,4200,4300,4300,4300,123,0,1700.0,1975.3448091463417,337.10281100000003,4324.074455000002,12500001.0
1635683536,25,,Aggregated,4.800000,0.000000,1800,2400,3400,3500,3800,3900,4600,4800,4900,4900,4900,126,0,1700.0,2042.6038019285718,337.10281100000003,4929.181993,12500001.0
1635683537,26,,Aggregated,4.600000,0.000000,1800,3000,3400,3500,3900,4300,5300,5400,5500,5500,5500,129,0,1800.0,2120.431326945737,337.10281100000003,5482.721215000001,12500001.0
1635683538,27,,Aggregated,4.400000,0.000000,1800,3000,3400,3500,3900,4600,5400,5500,6100,6100,6100,130,0,1800.0,2151.338357407693,337.10281100000003,6138.345287,12500001.0
1635683539,28,,Aggregated,4.400000,0.000000,1800,3100,3500,3600,3900,5300,6500,6500,6500,6500,6500,133,0,1800.0,2249.885501428572,337.10281100000003,6549.119236,12500001.0
1635683540,29,,Aggregated,4.300000,0.000000,2000,3200,3500,3600,4300,6100,6900,6900,7300,7300,7300,136,0,1900.0,2355.539815691177,337.10281100000003,7275.689041000003,12500001.0
1635683541,30,,Aggregated,4.000000,0.000000,2000,3200,3500,3600,4600,6500,6900,7300,7900,7900,7900,137,0,2000.0,2395.835354233577,337.10281100000003,7876.028596000001,12500001.0
1635683542,31,,Aggregated,3.900000,0.000000,2000,3400,3500,3700,5300,6900,8000,8100,8100,8100,8100,141,0,2000.0,2555.897433156029,337.10281100000003,8107.367129,12500001.0
1635683543,32,,Aggregated,3.300000,0.000000,2100,3400,3600,3900,6500,8000,8300,8300,8400,8400,8400,145,0,2100.0,2713.6178178827586,337.10281100000003,8383.672454,12500001.0
1635683544,33,,Aggregated,3.100000,0.000000,2100,3500,3700,3900,7300,8200,8300,8300,8400,8400,8400,150,0,2100.0,2897.8038207600002,337.10281100000003,8383.672454,12500001.0
1635683545,34,,Aggregated,3.000000,0.000000,2200,3500,3900,4800,8100,8200,8300,8400,8400,8400,8400,155,0,2200.0,3070.0408460903227,337.10281100000003,8391.195226,12500001.0
1635683546,35,,Aggregated,3.100000,0.000000,2200,3600,3900,5500,8000,8200,8300,8400,8400,8400,8400,161,0,2200.0,3240.0641148819873,337.10281100000003,8391.195226,12500001.0
1635683547,36,,Aggregated,3.200000,0.000000,2400,3600,4800,6500,8000,8200,8300,8400,8400,8400,8400,166,0,2300.0,3358.3750365421683,337.10281100000003,8391.195226,12500001.0
1635683548,37,,Aggregated,3.400000,0.000000,3000,3700,5400,6900,8000,8200,8300,8400,8400,8400,8400,170,0,2400.0,3440.2794356999993,337.10281100000003,8391.195226,12500001.0
1635683549,38,,Aggregated,3.600000,0.000000,3000,3800,6100,6900,8000,8200,8300,8400,8400,8400,8400,173,0,3000.0,3500.3300835086698,337.10281100000003,8391.195226,12500001.0
1635683550,39,,Aggregated,3.700000,0.000000,3200,3900,6800,6900,8000,8200,8300,8400,8400,8400,8400,181,0,3200.0,3649.104239900552,337.10281100000003,8391.195226,12500001.0
