Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1635684452,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1635684453,1,,Aggregated,0.000000,0.000000,800,800,800,800,800,800,800,800,800,800,800,1,0,795.0056370000001,795.0056370000001,795.0056370000001,795.0056370000001,12500001.0
1635684454,2,,Aggregated,0.000000,0.000000,330,330,350,350,800,800,800,800,800,800,800,6,0,330.0,397.74262883333336,264.990764,795.0056370000001,12500001.0
1635684455,3,,Aggregated,0.000000,0.000000,420,440,450,460,470,800,800,800,800,800,800,13,0,420.0,415.2184706923077,264.990764,795.0056370000001,12500001.0
1635684456,4,,Aggregated,0.500000,0.000000,450,500,520,530,550,800,800,800,800,800,800,20,0,440.0,449.67268319999994,264.990764,795.0056370000001,12500001.0
1635684457,5,,Aggregated,2.333333,0.000000,500,540,550,640,700,710,800,800,800,800,800,27,0,500.0,496.7887661851851,264.990764,795.0056370000001,12500001.0
1635684458,6,,Aggregated,3.500000,0.000000,530,640,700,710,830,890,900,900,900,900,900,33,0,530.0,557.6753864242423,264.990764,896.5926340000001,12500001.0
1635684459,7,,Aggregated,4.000000,0.000000,550,800,830,850,890,940,960,960,960,960,960,41,0,550.0,621.3724978536583,264.990764,960.7568009999997,12500001.0
1635684460,8,,Aggregated,4.500000,0.000000,650,830,870,890,980,1000,1100,1100,1100,1100,1100,46,0,640.0,664.9002749565216,264.990764,1051.8598060000004,12500001.0
1635684461,9,,Aggregated,4.857143,0.000000,710,870,940,1000,1200,1300,1300,1300,1300,1300,1300,53,0,710.0,737.0550059245281,264.990764,1270.2580759999994,12500001.0
1635684462,10,,Aggregated,5.125000,0.000000,830,940,1100,1200,1300,1300,1400,1400,1400,1400,1400,60,0,810.0,804.8105513333331,264.990764,1396.0442540000013,12500001.0
1635684463,11,,Aggregated,5.111111,0.000000,860,1000,1200,1300,1300,1400,1500,1500,1500,1500,1500,66,0,850.0,860.7300417121209,264.990764,1532.082591,12500001.0
1635684464,12,,Aggregated,5.300000,0.000000,900,1200,1300,1400,1500,1500,1700,1700,1700,1700,1700,75,0,900.0,944.1390037066662,264.990764,1663.335270000001,12500001.0
1635684465,13,,Aggregated,6.000000,0.000000,960,1300,1400,1500,1600,1700,1700,1700,1700,1700,1700,80,0,940.0,989.7999220374995,264.990764,1735.955821000001,12500001.0
1635684466,14,,Aggregated,6.700000,0.000000,1000,1300,1500,1500,1700,1800,1900,2000,2000,2000,2000,88,0,1000.0,1064.1576189886357,264.990764,1953.0492459999991,12500001.0
